Where can I see The Prime Ministers: The Pioneers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When and where can I watch National Priority?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Schedule the food truck to be at your place in the distant future.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Please make reservations for me and my roommate somewhere in Bouvet Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please call and reserve seating for march 6 at a diner in Kyrgyzstan  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to eat in Ramona  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it be rainy nine weeks from now close to the Matlacha Pass National Wildlife Refuge  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Anything close to Smith-9th St that can seat two people about one minute from now ?  [predicted:  RateBook ; correct:  BookRestaurant ]
Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I need some Hardcore Hip Hop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to dine in Luray  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
give me something from the fifties  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm looking for a movement by Asim Brkan that's on Netflix best channel  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'm wondering if I can watch Heyy Babyy at a cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please reserve a spot at Ballachulish House.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I'm looking for something by Young Rome from 2001 on Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it cloudy in the same area of Lynn Shore Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play Man Like Me by heather b.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
where is My Song Goes Forth playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get hotter next year in Springside Nature Reserve?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to eat at the Original Spanish Kitchen in North Carolina  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'm looking to bring shawn, marguerite and della to a place to eat at near Rwanda.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I would like to hear The Worst Is Yet To Come.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my Women of Rock playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
in 17 minutes  will it be foggy in Songimvelo Game Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'm in MI and want to eat somwhere nearby Midday.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Start playing my Disney playlist.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
show the schedule of Unborn but Forgotten  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me some Musica Post-industriale from Groove Shark  [predicted:  GetWeather ; correct:  PlayMusic ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
move Josiah Leming to te quiero list  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
renee sanders, marlene and jewel want to go to a gastropub in the spa  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you locate The Crucible of Man: Something Wicked Part 2 novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Will it be warmer at 2 pm at the Ak-Suu Complex Nature Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where is White Bim Black Ear  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
How much hotter will it be 40 weeks from now in Blue Island, North Dakota?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to listen to mark rae  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  GetWeather ; correct:  PlayMusic ]
What time will the Amco Entertainment  be plying The Teeth of the Tiger  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you get me the Snowman's Land movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for Heart Beats.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to eat in Montana on 10/22/2030  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
Please find the schedule for Jappeloup at Bow Tie Cinemas.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate The Ghost House series a one  [predicted:  SearchCreativeWork ; correct:  RateBook ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put Kim Kibum in my the martin garrix show playlist.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can i get a song from the eighties on Zvooq  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find the schedule for Success.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be a storm on Christmas Day in my current place?  [predicted:  RateBook ; correct:  GetWeather ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I watch The Sword of Ali Baba at two p.m.?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please include danni bassan in my Perfect Concentration  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
Show me schedules to see A Film with Me in It.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
will there be hail in Dean Creek Wildlife Area on Feb. 25, 2031  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
On june 27, 2026 I'd like to go to a Delaware gastropub  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will there be rain next year in New Hampshire?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to hear Cry Baby Cry by Ally Kerr.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put Anna Grigorjewna Semenowitsch in all out 00s list  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
How cold will it get in Tajikistan around oct. eleventh?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to watch A Storm in the Stars at North American Cinemas  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I need seats for 6 at a place in AK  [predicted:  RateBook ; correct:  BookRestaurant ]
forecase for Ohio in twenty one hours and one second  [predicted:  RateBook ; correct:  GetWeather ]
hannah lewis and chelsea want to go to a cafe in Botswana on Apr. the seventeenth, 2024  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Ply best 1973 sound track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to watch Apocalypse 2024  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want something from the year 1961 that was on record from deezer  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Reserve in Bermuda a food court near jan and I  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play rock like war from Mohammad Reza Lotfi please  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I get The Marine 2 showtimes.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to reserve a gastropub that has a spa.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find National Amusements with Honey, I Shrunk the Kids  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will the humidity be in the current spot at 15:19:29?  [predicted:  RateBook ; correct:  GetWeather ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me some Hank Shermann from 1975 on Lastfm  [predicted:  GetWeather ; correct:  PlayMusic ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it get hotter far away in Afghanistan?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find The Watcher at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a bakery at zero o'clock for 5 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
Is there fog in New York  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to eat around ID on august the 16th with a party of 8  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
can i lesten to the latest album of T-bone Burnett  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to listen to Say It Again by Blackstratblues  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please anything good by Chieko Ochi  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Show me when Scandalous John is playing.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to Mick Fleetwood on my Vimeo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find the schedule for Death Valley Manhunt.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Start playing something off Spotify  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
Let's listen to Matthew Shipp.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
will it be sunny in my current place at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find the schedule for The Tooth Will Out at sunrise.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Chips in Crouch  [predicted:  GetWeather ; correct:  BookRestaurant ]
I wanna listen to Electroclash  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find the schedule for Brick.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can i use Lastfm to listen to Twilight Time by Dj Khalil?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Could you locate the work, All the Times I Cried?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to listen to an album from Sibel.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I need a popular moroccan cafeteria  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Lets go to a bistro in SD  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you get me seating for 5 people 1 minute from now in Tuvalu  [predicted:  RateBook ; correct:  BookRestaurant ]
See if Netflix has the Lightspeed Champion album boris  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find the schedule for The Kentuckians.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time does The Maze start at Cineplex Odeon Corporation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
most popular song of taco ockerse  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to eat in 19 hours  at NM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
something on Spotify please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
