will it rain today in French Southern Territories of Highland Beach  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the current selling price of the novel The Sims 3: Island Paradise?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Let's listen to the most popular Marty Friedman songs on Zvooq.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
give two star to As Long as We Both Shall Live book  [predicted:  BookRestaurant ; correct:  RateBook ]
Play me a song from Movies For The Blind on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you pull up the American Music Awards of 1975  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like to watch Apocalypse 2024  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Start playing anything Mike Muir made in the thirties  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'd like to hear Helen Baylor  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Would like to find the trailer for An Experiment with Time  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Need a booking for 6 in OK for the city of Boonton  [predicted:  RateBook ; correct:  BookRestaurant ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to the latest ballad from Ira Losco  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Pull up the movie Toy and Help Yourself  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
An interesting piece from 1991 please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
rate the book English Grammar In Use a five  [predicted:  BookRestaurant ; correct:  RateBook ]
I give The Screaming Staircase a five.  [predicted:  GetWeather ; correct:  RateBook ]
Play Rap Album One by Gene Vincent.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find me the novel London Has Fallen  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate The Keys to the White House a zero  [predicted:  GetWeather ; correct:  RateBook ]
Rate trailer Geek Chic  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
me and edith want to eat in Coventry Lake  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate this book called Kings of the High Frontier four points  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd give A Man Called Ove a 1  [predicted:  GetWeather ; correct:  RateBook ]
Rate this book a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to go to the Freight House in Gabon  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
show schedule for Loved by Thousands  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
rate The Ape-Man Within 4  [predicted:  BookRestaurant ; correct:  RateBook ]
Find a reservation at Fish Express  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to hear some trip-hop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play me the soundtrack for Nothing Personal.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Wish to read the novel called The Wizard of Stone Mountain  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch May Blossom  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Turn on Spotify to Tiny Tim ep  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to listen to the track Close To The Edge  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Give me an album from 1972 to listen to.  [predicted:  RateBook ; correct:  PlayMusic ]
Gods and Pawns should get a three  [predicted:  GetWeather ; correct:  RateBook ]
I want to listen to Merrily We Roll Along by Marko Desantis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
the series City on Fire is a four  [predicted:  GetWeather ; correct:  RateBook ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear Ami Suzuki's latest record  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you get me the Maldeamores saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking for Circus World.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you find me the Children of Jerusalem: Yehuda movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Rate The Bishop a 1  [predicted:  GetWeather ; correct:  RateBook ]
party of six this week in Oman  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Halid 08 by video game pianist on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please play Bitch Please Ii  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you get me the Starcross saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
restaurant in Niger for my mom and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
rate the book The Scorpio Illusion a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to listen to some Aaliyah  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Turn on Slacker radio.  [predicted:  GetWeather ; correct:  PlayMusic ]
Play something off my New Boots playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play artist stu davis from the album Dub Chamber 3 on Netflix  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
book at Dutchess Manor in Portugal for 6  [predicted:  RateBook ; correct:  BookRestaurant ]
Play the next ep by Video Game Pianist on netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it supposed to rain nearby my current location at 0 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
Open The Second Adventure album by Hans Nilsson  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
My group of seven wants to eat at Yogurt Mountain in Slick tonight.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Look for the novel Rings of Steel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Lets go eat in Friday 43 days from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to hear Don Airey's Gonna Raise Hell  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Freud: A Life for Our Time deserves a solid 4  [predicted:  GetWeather ; correct:  RateBook ]
Give The Pirates of Manhattan a 1  [predicted:  GetWeather ; correct:  RateBook ]
Look for the movie Darkness Come Alive  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Noche de chicas playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I see Joy of Learning?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Metal Crash Course playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you get me the Growing Artichokes in Mimongo movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Search The Olympic Champ book.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want ohear the 1996 soundtrack from deezer  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Rate Deception a one  [predicted:  GetWeather ; correct:  RateBook ]
play Bill Evans album The Best Of The 12" Mixes  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
use Iheart to listen to retro  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I wish to hear the playlist Estado de ánimo on Last Fm.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please add james house to bleeps & bloops  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Who published the novel JamesEdition?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please call and reserve seating for march 6 at a diner in Kyrgyzstan  [predicted:  RateBook ; correct:  BookRestaurant ]
Let me know when I can watch Actrices.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'm looking to get a seat at a brasserie in Togo.  [predicted:  GetWeather ; correct:  BookRestaurant ]
rate this book a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Listen to Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Let me listen to Rouhollah Khaleghi on deezer.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it be hot in the current place two hundred fourteen days from now?  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to listen to Diana Vickers best tune from the twenties  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
me, bobbie and colette want to go to The Peak Lookout in Felicity  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Rate The Costs of Accidents a three  [predicted:  GetWeather ; correct:  RateBook ]
Find me the movie with the title of Twitches  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
Where is White Bim Black Ear  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
rate this book a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
give Jackass Investing a three  [predicted:  GetWeather ; correct:  RateBook ]
Where can I watch The Sword of Ali Baba at two p.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find the movie Girl on the Trapeze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you get seating for a group of 6 at twenty o'clock at a restaurant and spa faraway from Palmyra  [predicted:  RateBook ; correct:  BookRestaurant ]
I give The Spirit of St. Louis a 1  [predicted:  GetWeather ; correct:  RateBook ]
Put any 1972 record on.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see the picture The Collection – The Collector 2  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
SCORE:  2972 / 3140  ( 0.9464968152866242 )
Find me the novel titled Fertile Ground  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I listen to Willy and the Poor Boys  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be foggy in 1 hour and 1 minute from now in OK  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to see the trailer Tony Parker  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Wish to hear the album Since I Saw You Last  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to hear the new Latin Pop Rising list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
Start playing something off Spotify  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
read the novel Friend: The Great Legacy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Need the book called ANAK  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What time will Paris by Night aired  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I watch Gaddar: The Traitor?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the movie Poison Ivy: The New Seduction  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look up Three Fantastic Dances  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up the Around the World in Eighty Days movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Clifford Brown All Stars by Michael Balzary  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find the novel Meg and Seron  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Would like to find the trailer for An Experiment with Time  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look for the novel Behind closed doors  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I need a diner  [predicted:  GetWeather ; correct:  BookRestaurant ]
Are there any painting of the 1st Concert Oh Yeah! 1999?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
How is the humidity near my current place  [predicted:  RateBook ; correct:  GetWeather ]
Rate this book a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you get me the Maldeamores saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I find the picture of House Foundation  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is it going to be nice at 6 AM at Chippewa Lake  [predicted:  RateBook ; correct:  GetWeather ]
Where can I view the photograph The Phantom Horse  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Could you locate the work, All the Times I Cried?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to hear music off my Indie Festival playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you search A Song for Mama book for me?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Show The Legend of Jesse James novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the McGill Law Journal movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Ply best 1973 sound track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want ohear the 1996 soundtrack from deezer  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you help me search the Two Row Times show?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What will it feel like in the current place in July  [predicted:  RateBook ; correct:  GetWeather ]
