I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch Fist of the North Star 1 minute from now  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
something on Spotify please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it be hot in the current place two hundred fourteen days from now?  [predicted:  RateBook ; correct:  GetWeather ]
What is the showtime for Arsho  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see the book, The Mailroom: Hollywood History from the Bottom Up  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
When is One Sunday Morning scheduled to be played?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find me the showtimes for How to Commit Marriage.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to the song The Loving Spirit  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Search for the Exiles of Time book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can I get the showings for Mysterious Crossing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Give me the showtimes for Sign of the Anchor.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  GetWeather ; correct:  BookRestaurant ]
party of six this week in Oman  [predicted:  GetWeather ; correct:  BookRestaurant ]
is it supposed to get colder here on 12/28/2019  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where to buy Unarchigal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I wish to listen to Gonna Get Along Without Ya Now by Ian Curtis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play me an album by Lunchbox  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please show me the movie schedule for today.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need a book called Student Demonstration Time  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you pull up Queen of the Organ  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch Demolition Man at 11:09 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
book at Dutchess Manor in Portugal for 6  [predicted:  RateBook ; correct:  BookRestaurant ]
Play Everybody Wins trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is this film going to be at Malco Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is there rain in Nauru at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it going to be nice at 6 AM at Chippewa Lake  [predicted:  RateBook ; correct:  GetWeather ]
What will it feel like in the current place in July  [predicted:  RateBook ; correct:  GetWeather ]
Put this song on legendary guitar solos  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
What is A Romance of the Halifax Disaster  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can Super Turnt Up get added to my emotron playlist?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
is Unbeatable Harold at Century Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please add james house to bleeps & bloops  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
What time is A Battle of Wits starting?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to read the book Between a Rock and a Hard Place  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
put my raining playlist on  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it get warmer in the same area as Sandy Point National Wildlife Refuge  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Something by Danielle Polanco in 1986  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play If You Go  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Good Night, and Good Luck at a Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like an outdoor cafeteria for 3  [predicted:  RateBook ; correct:  BookRestaurant ]
play The Rest of My Life  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be cloudy one hour from now in my current position  [predicted:  RateBook ; correct:  GetWeather ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
can i lesten to the latest album of T-bone Burnett  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play The Lure of the Mask song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can my electro sur have this song added to it?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I want to listen to an album from Sibel.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it be sunny one hundred thirty five days from now in Monterey Bay National Marine Sanctuary  [predicted:  RateBook ; correct:  GetWeather ]
is Ce cher intrus at IMAX Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is Just Like in the Old Country  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
rate the book The Guernsey Literary and Potato Peel Pie Society a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Will it be humid at the current location one minute from now?  [predicted:  RateBook ; correct:  GetWeather ]
Lets go eat in Friday 43 days from now  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
What are the showtimes for Boy of Mine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it supposed to rain nearby my current location at 0 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Get a chimichanga meal at a bakery  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play me the trailer for Star Control.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I want to go to the Freight House in Gabon  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be sunny at three pm in my current position  [predicted:  RateBook ; correct:  GetWeather ]
What is the song The Beast from 20?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch The Shamrock Handicap right now  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
give me some Hank Shermann from 1975 on Lastfm  [predicted:  GetWeather ; correct:  PlayMusic ]
add The Open Door to autumn music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Will there be a blizzard at 2 am in my current place  [predicted:  RateBook ; correct:  GetWeather ]
play Myth II: Soulblighter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
give me some Last Emperor  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will there be a storm on Christmas Day in my current place?  [predicted:  RateBook ; correct:  GetWeather ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be warmer at 2 pm at the Ak-Suu Complex Nature Reserve  [predicted:  BookRestaurant ; correct:  GetWeather ]
Start playing something from Iheart  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'd like to hear the song Impractical Jokers UK  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
can you put on Like A Hurricane by Paul Landers  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where to buy Education for Chemical Engineers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
Will there be sun at four PM at Runkaus Strict Nature Reserve  [predicted:  RateBook ; correct:  GetWeather ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
this chronicle rates a one for First Contact?  [predicted:  GetWeather ; correct:  RateBook ]
How snowy will it be in this current place on Feb. first, 2034?  [predicted:  RateBook ; correct:  GetWeather ]
What is it like on 7/10/2023 in the current place  [predicted:  RateBook ; correct:  GetWeather ]
play the Putrefactive Infestation trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Nightbirds on Nantucket soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Put Lo mejor de Radio 3 on in the background  [predicted:  BookRestaurant ; correct:  PlayMusic ]
play the Cabin Fever 2: Spring Fever saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Blind Company  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Lets eat now somewhere in Roach  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
play The Widow of Saint-Pierre saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I get the Cineplex Odeon Corporation showings for Small Town Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will it be like in six PM at the current place  [predicted:  RateBook ; correct:  GetWeather ]
Starting in one minute, please give me a hourly update as to whether it is foggy in Hallsville, Wallis and Futuna  [predicted:  RateBook ; correct:  GetWeather ]
Will it get chillier in Sinclair in 8 hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where can I listen to the song The Imposter?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking for something by Young Rome from 2001 on Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What time does A King in New York play in Malco Theatres  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need a SOUNDTRACK FOR STUDY purposes.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Need to see if there will be fog  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you get me seating for 5 people 1 minute from now in Tuvalu  [predicted:  RateBook ; correct:  BookRestaurant ]
Is it cold in the current location more than it was in 3 years  [predicted:  RateBook ; correct:  GetWeather ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it be hotter in CT at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
Add Falling Stars to my Intense Studying  [predicted:  RateBook ; correct:  AddToPlaylist ]
I want maximilian mutzke added to Acoustic Concentration  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
I want to dine in Luray  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book a restaurant on June the fifth in Cavour.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Tell me where I can watch Common Law Cabin  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need the wather for next week in the Philippines  [predicted:  BookRestaurant ; correct:  GetWeather ]
SCORE:  2966 / 3140  ( 0.9445859872611465 )
What will it be like in six PM at the current place  [predicted:  RateBook ; correct:  GetWeather ]
Check the movie timings for Cracked Nuts at Southern Theatres.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to know the temperate from January the twentieth in Brazil  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like to eat in Montana on 10/22/2030  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to hear Cry Baby Cry by Ally Kerr.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want ohear the 1996 soundtrack from deezer  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
want to eat at Diners of Allentown, Pennsylvania on purim  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
