Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Summer School playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time does The Maze start at Cineplex Odeon Corporation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play These Four Walls by Yummy Bingham.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Can I get the showtimes for Fit for a King?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where to get album Justified  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
CAn I get the the showtimes for The Jade Faced Assassin cinema?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open The Second Adventure album by Hans Nilsson  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the predicted weather for my current spot next month?  [predicted:  RateBook ; correct:  GetWeather ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Show me when Scandalous John is playing.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where do i purchase the book, Baby-Sittor?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find National Amusements with Honey, I Shrunk the Kids  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play The New Retro playlist on Netflix.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear a Joel Hastings melody.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is Race Gurram playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up The Reverse of the Medal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is it colder faraway from my current spot?  [predicted:  RateBook ; correct:  GetWeather ]
rate the book The Guernsey Literary and Potato Peel Pie Society a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Play the best ballad by The Rascals.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Mary Kom starting in one hour  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Bloody Twilight playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I watch Gaddar: The Traitor?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
show creativity of The Greatest Movie Ever Sold  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
How is the humidity near my current place  [predicted:  RateBook ; correct:  GetWeather ]
does Mexican Werewolf start at three am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the schedule for Brick.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is Dive Bomber playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can i see Girls to Marry  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can i see The Half Naked Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it going to be humid faraway from here around dinner time  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Show me the forecast for Anatone Louisiana on November 7th  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where can I see Travelling Light?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time could I see A Mile in His Shoes?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Missing Clerk playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Goodbye Mr. Chips showing twelve minutes from now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give The Judas Tree a zero  [predicted:  GetWeather ; correct:  RateBook ]
What time is The Queen of Moulin Rouge playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time will Paris by Night aired  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What are the Mann Theatres showtimes for Secret Sunshine  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
the previous textbook is a 3  [predicted:  GetWeather ; correct:  RateBook ]
What time is Three Cuckoo Clocks playing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I see No Time to Die?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
What time is Unholy Women playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it going to be cloudy in my current spot for dinner?  [predicted:  RateBook ; correct:  GetWeather ]
Where can I find Paranormal Activity 3 playing near me 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
when is Red Shirts showing at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
How cold is it around the current location now?  [predicted:  RateBook ; correct:  GetWeather ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please find the schedule for Jappeloup at Bow Tie Cinemas.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is Puthri playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is it supposed to be colder at lunch time in Schuyler, Venezuela?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
where is The Yellow Star: The Persecution of the Jews in Europe 1933-45 playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to go see The Trouble with Girls  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it storm in Charles Pinckney National Historic Site  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
fimd films around here  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What films are at National Amusements  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to hear some trip-hop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Rate The Drowning a 3.  [predicted:  GetWeather ; correct:  RateBook ]
what film to see at ArcLight Hollywood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be hotter in my current place in six weeks from now  [predicted:  RateBook ; correct:  GetWeather ]
What time is The Mailman playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What are the showtimes for Boy of Mine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it feel nicer in Finland or New Mexico today  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Monk Comes Down the Mountain  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will it feel like on patriot's day on South Georgia and the South Sandwich Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to hear the new Latin Pop Rising list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to give this book zero  [predicted:  BookRestaurant ; correct:  RateBook ]
rate the book series Sons of Destiny a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Is there going to be a depression in my current location on nov. the ninth  [predicted:  RateBook ; correct:  GetWeather ]
Is Amco Entertainment showing Cień Caseya today?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Fox Theatres with The Caretaker  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Walt: The Man Behind the Myth playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is The Bride Wore Boots playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is it supposed to get colder here on 12/28/2019  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
rate Tropic of Orange a three  [predicted:  GetWeather ; correct:  RateBook ]
Where is My Dearest Enemy playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the best Elizaveta Khripounova  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear some The Roches  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can you get seating for 1 person at a cafeteria in Pauls Crossroads  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where the The Housemaid playing and when  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
will there be a snowstorm in eight months at Chattahoochee River National Recreation Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be chillier at my current location in one minute?  [predicted:  RateBook ; correct:  GetWeather ]
Is Mentioned in Confidence at the cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
1 points for Victory for Us Is to See You Suffer  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to watch The Freckled Fish at 00:47:43 at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is 30 Days of Night playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Orchid Thief a five  [predicted:  GetWeather ; correct:  RateBook ]
Can I get The Marine 2 showtimes.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
what is the twenty one o'clock forecast for the current spot  [predicted:  RateBook ; correct:  GetWeather ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will there be hail around Khao Phanom Bencha National Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What movies are in the neighbourhood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open Lastfm and start playing whatever  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
will it rain today in French Southern Territories of Highland Beach  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
SCORE:  2726 / 3140  ( 0.8681528662420382 )
turn on Last Fm  [predicted:  GetWeather ; correct:  PlayMusic ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to take my bf and I to get some pain perdu from a food truck  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
this track should go into my playlist called This Is Beethoven  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Italy Has Awakened at a Goodrich Quality Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Without Witness playing twenty two hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Go to The Devil in the Deal:50 Secrets to Successful Dealmaking  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play a top five Jonny Buckland symphony from around 1989  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to watch the TV series Sailor Moon SuperS: The Movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Include Brandon Paris in The MetalSucks Playlist  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Show me the novel All I Need to Know  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to hear Ami Suzuki's latest record  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
what time is One Night Stand showing at Cineplex Odeon Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to hear a top five ballad from 2002  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Tell me the weather forecast for my current spot 1 minute from now  [predicted:  RateBook ; correct:  GetWeather ]
want to eat at Diners of Allentown, Pennsylvania on purim  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please add james house to bleeps & bloops  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
listen to Pmd symphony  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to see Those Kids from Town, when will it be showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
show weather forecast in AS  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
