Find me a soundtrack by Ghost Town Prophecy  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Trivial Pursuit: America Plays  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Dear Old Girl Cooper Foundation  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is Brick showing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Where can I see Joy of Learning?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the AMC Theaters movie schedule?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I give Warheart 5 stars.  [predicted:  PlayMusic ; correct:  RateBook ]
Add even serpents shine to dorothea's indie hipster playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where is Shake Your Powder Puff playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Give me the Spirit the Earth Aflame TV show.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where will The Blonde from Peking be playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
add Top 100 Indie Tracks on Spotify to my track  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
rate What the Dog Saw a two  [predicted:  PlayMusic ; correct:  RateBook ]
will you add Pat Kirtley to my covered in punk playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Bride  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Add some patrick stump to maritza's disco fever list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find The Dressmaker.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Good Night, and Good Luck at a Cinemark Theatres  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
What is the Read All About It picture?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Praise The Lord And Pass The Ammunition.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
where is No Sleep til Shanghai showing in three hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please look for The Pagans at movie house.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Costs of Accidents a three  [predicted:  PlayMusic ; correct:  RateBook ]
find films closest to a cinema  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
add paula abdul to Classic Acoustic playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Rate The Rules of Survival a 5 value  [predicted:  PlayMusic ; correct:  RateBook ]
rate Shockscape five stars  [predicted:  PlayMusic ; correct:  RateBook ]
put Before the Eulogy onto Acoustic Blues  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can you give me a local and current movie schedule  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play 1970 trunes  [predicted:  GetWeather ; correct:  PlayMusic ]
play Groove Shark  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to find out when Midnight Club is playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate And No More Shall We Part chronicle 4  [predicted:  PlayMusic ; correct:  RateBook ]
Rate The Starship Trap 5 stars  [predicted:  PlayMusic ; correct:  RateBook ]
Put No Mystery into my Punk Essentials playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book for six for 1 hour and 1 minute from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd give A Man Called Ove a 1  [predicted:  SearchScreeningEvent ; correct:  RateBook ]
add The Little House We Built onto mucho rap  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
what theaters are showing A Lonely Place to Die – Todesfalle Highlands starting at 14:40  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find a saga with 0 rating called Poems for Midnight  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Is My Own True Love playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play Iheart  [predicted:  GetWeather ; correct:  PlayMusic ]
Find me Recorder and Randsell  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find movie titled Triumph of the Spirit  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is The Kiss playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Show Acta Mathematicae Applicatae Sinica TV show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the Three Little Pigs television show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate The Courtship of Princess Leia saga a two  [predicted:  PlayMusic ; correct:  RateBook ]
Play Tomorrow  [predicted:  GetWeather ; correct:  PlayMusic ]
Play Andy Williams Sings Rodgers And Hammerstein by elica todorova  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Show me the movie Black Summer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I need to know when Sensation in Morgan’s Creek is playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
There's a famous painting called Thursday, do you have an image of it?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find LaserLight.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Peja tunes  [predicted:  GetWeather ; correct:  PlayMusic ]
find Remedial Chaos Theory, a soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add omnipresent to verano  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
When is Fine, Totally Fine playing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Find the Hopeless Romantic photograph  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need work of Father Dearest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add fuzzy logic to latin dinner  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Dipson Theatres animated movies  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play Hardcore music  [predicted:  GetWeather ; correct:  PlayMusic ]
Book The Electric Banana in Ewen for crystal and brittney.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Please search Cardin in Australia saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
IS Anti-Semitism in the 21st Century: The Resurgence playing now  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Rate Decoding Reality 0 points  [predicted:  PlayMusic ; correct:  RateBook ]
Check which cinema currently runs When the Last Sword is Drawn.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Put new page onto my latin jazz playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
where is Beyblade: Fierce Battle playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
show Angels of Iron television show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is Love, Marilyn playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Love Guru playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Where can I get movie schedule  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
add jim martin to Deathcore  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play Spotify  [predicted:  GetWeather ; correct:  PlayMusic ]
Find The New Legend of Shaolin video game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show The Ancient Art of War picture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate Until I Find You four points  [predicted:  PlayMusic ; correct:  RateBook ]
Find Later That Evening  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Butterfly House to nu metal  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play Jawad Ahmad  [predicted:  GetWeather ; correct:  PlayMusic ]
Add this raffaele riefoli tune to Deathcore  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Include golden boy in Pop Dance  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Mikazuki Sunset  [predicted:  GetWeather ; correct:  PlayMusic ]
add j r rotem to Classic Jazz Singers playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
rate American Tabloid a 0  [predicted:  PlayMusic ; correct:  RateBook ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put four in blue onto Ultimate 00s.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play the tune by Adam Yauch  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Rate Star Wars - The Old Republic: Revan 1 points  [predicted:  PlayMusic ; correct:  RateBook ]
The book Organization of Behavior deserves two points.  [predicted:  PlayMusic ; correct:  RateBook ]
Wish to hear the album Since I Saw You Last  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Welcome to the El-Palacio, a movie  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Find the movie Splendor in the Grass  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the Trance Visionary saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
in 1 hour and 1 minute find a cinema nearest for films  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
give After Worlds Collide a 1  [predicted:  PlayMusic ; correct:  RateBook ]
Add lisa dalbello to my 2015 CMA Awards Nominees list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want lay down your arms in the indie español playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play Doctor Fink if i could choose  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Cinemark Theatres with films  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Attack Surface Analyzer, a painting  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add Magnifico to michele's playlist called 88 keys.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
search for Pat and Margaret  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Breathless  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is The Legend of the Evil Lake playing at 09:38:42 am  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
4 points for Four Upbuilding Discourses, 1844  [predicted:  PlayMusic ; correct:  RateBook ]
Play industrial music.  [predicted:  GetWeather ; correct:  PlayMusic ]
Add Manuelita la tortuga to my Nuestros 80 playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
put Michael Cretu onto my Beach Vibes playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Search The Olympic Champ book.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Wild at Heart  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play Morning Song  [predicted:  GetWeather ; correct:  PlayMusic ]
fimd Glory  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
add armand van helden to my black sabbath the ozzy years playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find the Love And War soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Necromancer  [predicted:  GetWeather ; correct:  PlayMusic ]
Search for Infantry  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play tribal  [predicted:  GetWeather ; correct:  PlayMusic ]
Is this film going to be at Malco Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
add The Open Door to autumn music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Show The Singles Collection Volume 4  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the Exile and the Kingdom  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Hot House to Have You Met Miss Jones  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play Clásicos del Hip Hop Español  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Three in the Attic  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Long Hello and Short Goodbye, a movie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
open the Canciones del Recuerdo playlist and play songs  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want maximilian mutzke added to Acoustic Concentration  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Carry me in your dreams  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add por tu maldito amor to my orgullo gay  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find The Garden of Eden  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add my hands to travelling playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find Head Start  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate Three Men Out a three  [predicted:  PlayMusic ; correct:  RateBook ]
Is Winged Victory showing anywhere in one minute?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is White Bim Black Ear  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please search Thirayum Theeravum video game.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add Geschwisterliebe to my string theory playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find The Broken  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show The drive of life album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch Wish You Were Dead  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Noctámbulo playlist  [predicted:  GetWeather ; correct:  PlayMusic ]
Where Can I watch Chaos and Desire?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is there hail forecast for Hale Center on 7/22/2030?  [predicted:  PlayMusic ; correct:  GetWeather ]
book a latin cuisine pub for 2 on September the 13th, 2037 in Kazakhstan  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is there snowstorm in LA?  [predicted:  PlayMusic ; correct:  GetWeather ]
Circle of Iron in the closet cinema  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Is AMC Theaters showing Crime on the Hill?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Get soundtrack of Comprehensive Knowledge Archive Network  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Berlin to the Samba Beat  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
11 seconds from now find a cinema with First Monday in October  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
looking for Liberalism and the Limits of Justice  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play my Electro Sur playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find Four Songs  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want Sugarfoot  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Add Nazad, nazad, Kalino mome to Escapada  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Mysterious Castles of Clay  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book a southeastern brazilian cusinie pub  [predicted:  PlayMusic ; correct:  BookRestaurant ]
The trapaholics needs another artist added.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find The Path to Power.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add Falling Stars to my Intense Studying  [predicted:  RateBook ; correct:  AddToPlaylist ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
