Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to hear some trip-hop  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it feel nice here or within the same area  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the forecast this evening for the Calipuy National Reservation  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Where is Bernardsville?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
my brother in law and I would like to go to Guinea-Bissau for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need Journal of Pediatric Oncology Nursing, help me find  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me the documentary A Winter of Cyclists  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
me and my niece want to eat somewhere close by Hopatcong  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I'm looking to find Kiss Me Goodbye.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please fine me Worms Clan Wars.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Would like a table right now for leonor mendoza, imogene and lisa sanchez  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the weather prediction for Acworth, North Korea in six years  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you play some music by Abatte Barihun?  [predicted:  GetWeather ; correct:  PlayMusic ]
book at Dutchess Manor in Portugal for 6  [predicted:  RateBook ; correct:  BookRestaurant ]
Acreative work with the title At the Cafe Bohemia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What will be the forecast for Belarus in the future around sep. the 22nd, 2020?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is the release date for the DVD called Wild Is the Wind?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the forecast at 12 am in Sudan  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is Belgium located  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear my Entre los Andes playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my Trabajo Relax playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to eat somewhere that is faraway from Iowa.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Need a booking for 6 in OK for the city of Boonton  [predicted:  RateBook ; correct:  BookRestaurant ]
Let's listen to Matthew Shipp.  [predicted:  GetWeather ; correct:  PlayMusic ]
I need to book a reservation in Searsport at eleven am  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Like to book a seat in Monaco for the Yankee Doodle Coffee Shop  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I want to watch Supernatural: The Unseen Powers of Animals  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book Childs Restaurants in Bruno for 1 person on October 6th, 2019.  [predicted:  RateBook ; correct:  BookRestaurant ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book a restasurant in Pohick Delaware.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you help me find the work, The Sperm?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you please search Ellington at Newport?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need a table somewhere in Culver City WA  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book a spot that is faraway from the Municipal Borough of Farnworth in 16 minutes  [predicted:  PlayMusic ; correct:  BookRestaurant ]
What will the weather be this Afternoon in Brilliant MI?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you search the work, Curiosity Quest?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please play songs by Lil Jon  [predicted:  GetWeather ; correct:  PlayMusic ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
what will be the temperature 1 minute and 8 seconds from now in Green Bottom Wildlife Management Area  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rebekah taylor and marcie need reservations at The Clink in Senegal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the weather for eight o'clock in Laos that is within walking distance  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to eat in Ramona  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the weather going to be like on st. patrick's day?  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear something from Post-punk Revival  [predicted:  GetWeather ; correct:  PlayMusic ]
gwen carter and I want a reservation in the Dominican Republic  [predicted:  GetWeather ; correct:  BookRestaurant ]
Need the creative work called The Logic of Scientific Discovery  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking for a job in Inversion  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you locate the work, Warlock 2: The Exiled?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like a table at the San Francisco Brewing Company in Puerto Rico at noon  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need Top Gear 2, please search it for me.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you play some music by andrew diamond  [predicted:  GetWeather ; correct:  PlayMusic ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need a creative work called Hit by Love  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking for the show called The Origin of the Milky Way  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When and where can I watch National Priority?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What will the weathr be in Akin Jamaica?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Please fine me, Ties That Bind.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
book now in KY at Loveless Cafe  [predicted:  RateBook ; correct:  BookRestaurant ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will the temperature be at midnight in NE  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want the Turbonegro album to go on the playlist called Genuine R&B  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Play a trailer for Give It All  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'm looking to find Suryavanshi.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play my Éxitos España playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can i see the Boat People?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Could you locate the work, All the Times I Cried?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please give me the weather for Federated States Of Micronesia.  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to watch The Original Recordings  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the weather at 5 am on the Farallon Islands?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
SCORE:  3017 / 3140  ( 0.960828025477707 )
I'd like the weather forecast in Gang Mills four years from now.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I need a table in one hour from now at somewhere not far from LA  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please play my Happy House playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need a table at somewhere within walking distance of NV on november the 24th, 2027  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
book Main Deli Steak House on february 13 in Serbia and Montenegro  [predicted:  RateBook ; correct:  BookRestaurant ]
Book a reservation at a restaraunt in CT  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you get me The Education of Little Tree song?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear music off my Indie Festival playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Need table for two in Pleasant City  [predicted:  RateBook ; correct:  BookRestaurant ]
me and katharine would like to go eat at Jan. 22nd in IA  [predicted:  GetWeather ; correct:  BookRestaurant ]
Rate trailer Geek Chic  [predicted:  RateBook ; correct:  SearchCreativeWork ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Play music by artist mark ashley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Elizeth Cardoso to my Nothing But A Party R&B playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Search The Olympic Champ book.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
how's the weather going to be at fourteen o'clock in Falkland Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you play something off Johan Larsson's Travelers And Thieves  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play my Piano Ballads playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  RateBook ; correct:  BookRestaurant ]
book of Two for the Road  [predicted:  RateBook ; correct:  SearchCreativeWork ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I hear a tune from Vladimir Vysotski?  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Could you play the album B Men Gahō by Nathaniel Shilkret  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to eat somewhere that is faraway from Iowa.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the artist Joe  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find and book a table in WV  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to watch Strange Brother  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Who published the novel JamesEdition?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
book The Kegs Drive-In in 37 weeks  in Saudi Arabia  [predicted:  RateBook ; correct:  BookRestaurant ]
I need a table for a party of 2 at Co-operative Block Building in Old Glory  [predicted:  RateBook ; correct:  BookRestaurant ]
Play me the dinner playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Let's hear something from Elena Risteska  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like a reservation for Thornbury Castle three hours from now in NM.  [predicted:  GetWeather ; correct:  BookRestaurant ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to book a reservation in Searsport at eleven am  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Make me a reservation at Illinois Central Railroad Freight Depot in Singapore with vickie rodriguez, lila reyes and ruby  [predicted:  GetWeather ; correct:  BookRestaurant ]
open the Canciones del Recuerdo playlist and play songs  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'm looking to book a reservation in Aruba at a place nearby.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Repeat the track of music  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want The Complete Global Albums Collection  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
book a spot at Leopold Cafe in Bhutan  [predicted:  GetWeather ; correct:  BookRestaurant ]
At 8 AM I want to eat at The Rosebud in the Federated States Of Micronesia  [predicted:  GetWeather ; correct:  BookRestaurant ]
Reserve a table in Top of the Mark Lambertville, Vermont.  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Make me a reservation for elvira and I in Brazil  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
