Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the current selling price of the novel The Sims 3: Island Paradise?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Is A Short Film About Killing at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Outcast.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show schedule for Loved by Thousands  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you pull up the American Music Awards of 1975  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I listen to Willy and the Poor Boys  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I get the Butterfly Crush showings  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me an album from 1972 to listen to.  [predicted:  RateBook ; correct:  PlayMusic ]
Need to see if there will be fog  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to see Medal for the General  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
fimd Glory  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
find a movie house with Hollow Reed  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
An interesting piece from 1991 please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can I get the showings for Mysterious Crossing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book of Two for the Road  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Put any 1972 record on.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Vegucated starting at zero pm  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Elizeth Cardoso to my Nothing But A Party R&B playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Start playing anything Mike Muir made in the thirties  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to watch Strange Brother  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like to watch Apocalypse 2024  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Plan an album by Roni Duani.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a restaurant on June the fifth in Cavour.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
show schedule for Cin cin  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Give me a list of films that play in the neighbourhood  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play me the soundtrack for Nothing Personal.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the movie White Christmas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  3040 / 3129  ( 0.9715564077980186 )
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I think that this book deserves a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
ad i should have known better to this is bb king  [predicted:  GetWeather ; correct:  AddToPlaylist ]
want to eat somewhere windy in NM  [predicted:  BookRestaurant ; correct:  GetWeather ]
Book a restaurant on June the fifth in Cavour.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Show me Interesting Times: The Secret of My Success  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Start playing my Disney playlist.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Where can I listen to Willy and the Poor Boys  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show me whether Iceland will be colder than it was last april  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to listen to mark rae  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
Go to Mick Fleetwood on my Vimeo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like a new england added to Classical Moments in Movies.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Wish to hear the album Since I Saw You Last  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch The Original Recordings  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I get the Butterfly Crush showings  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Apocalypse 2024  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
most popular song of taco ockerse  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
fimd Glory  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where is White Bim Black Ear  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch May Blossom  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
When was the album Start a Fire released?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
Song from Brian Chase in 2004  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need some Hardcore Hip Hop  [predicted:  GetWeather ; correct:  PlayMusic ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open Lastfm and start playing whatever  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Give me a list of films that play in the neighbourhood  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find National Amusements with Honey, I Shrunk the Kids  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to see Far Cry Vengeance  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find an Oasis Drive-In close-by Beach 105th St.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to see Breathless  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
See if Netflix has the Lightspeed Champion album boris  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Starting in one minute, please give me a hourly update as to whether it is foggy in Hallsville, Wallis and Futuna  [predicted:  RateBook ; correct:  GetWeather ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  3074 / 3140  ( 0.9789808917197452 )
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Italy Has Awakened at a Goodrich Quality Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Starting in one minute, please give me a hourly update as to whether it is foggy in Hallsville, Wallis and Futuna  [predicted:  RateBook ; correct:  GetWeather ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Plays some akb48 on Youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to watch Take This Waltz  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
ad i should have known better to this is bb king  [predicted:  GetWeather ; correct:  AddToPlaylist ]
find five points called The Origins of Virtue  [predicted:  SearchCreativeWork ; correct:  RateBook ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Place this tune in workout remix  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
the next book is worth two  [predicted:  BookRestaurant ; correct:  RateBook ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is Dear Old Girl Cooper Foundation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Kebab Connection  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Include stefanie in Pre-Party R&B Jams  [predicted:  GetWeather ; correct:  AddToPlaylist ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Disco Tango to Power Walk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
in one hour find King of Hearts  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
